CustomerID,Nationality,Occupation,PEP_Status,RiskRating,IncomeSource,AnnualIncome,AccountOpeningMethod,IdentificationUsed,AccountNumber
30000001,Nepali,GAMING -CASINOS,No,High,Business,5511000.0,ONLINE ACCOUNT,NRN ID,00227195831
30000002,Nepali,ANY ACCOUNTANT,No,High,Salary,4936000.0,WALKIN CUSTOMER,NRN ID,00294784541
30000003,Nepali,RETIRED,No,Low,Other,5676000.0,OFFLINE,ADHAR CARD,00336786381
30000004,Nepali,REAL ESTATE BUSINESS,No,High,Investment,1045000.0,OFFLINE,ADHAR CARD,00173741221
30000005,Nepali,RETIRED,No,Low,Other,4551000.0,OFFLINE,PASSPORT,00123220472
30000006,Other,ANY ATTORNEY/ LAWYER,No,Medium,Salary,6886000.0,ONLINE ACCOUNT,NRN ID,00223386872
30000007,Indian,RETIRED,No,Low,Investment,1913000.0,REFERRAL,CITIZENSHIP,00269604532
30000008,Other,SELF EMPLOYED JEWELERS,No,High,Other,3222000.0,WALKIN CUSTOMER,ADHAR CARD,00287554391
30000009,Nepali,CASINOS,No,High,Salary,810000.0,OFFLINE,PASSPORT,00354919462
30000010,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Remittance,1375000.0,REFERRAL,NRN ID,00454439511
30000011,Other,FARMER,No,Low,Investment,4100000.0,SOCIAL MEDIA,CITIZENSHIP,00295484321
30000012,Nepali,SELF EMPLOYED JEWELERS,No,High,Remittance,3238000.0,SWIFT,ADHAR CARD,00574553241
30000013,Other,ANY ACCOUNTANT,No,High,Salary,1159000.0,MAIL,PASSPORT,00567071972
30000014,Indian,ANY ACCOUNTANT,No,High,Investment,7327000.0,REFERRAL,PASSPORT,00595174851
30000015,Nepali,TEACHER,No,Low,Business,4062000.0,ONLINE ACCOUNT,ADHAR CARD,00564384361
30000016,Indian,CASINOS,No,High,Salary,5936000.0,ONLINE ACCOUNT,PASSPORT,00224370261
30000017,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Other,7018000.0,MAIL,PASSPORT,00298528972
30000018,Other,REAL ESTATE BUSINESS,No,High,Investment,7227000.0,SWIFT,CITIZENSHIP,00483500992
30000019,Nepali,CASINOS,No,High,Salary,4831000.0,SOCIAL MEDIA,CITIZENSHIP,00348606841
30000020,Other,ANY ARTIST (ART/CRAFTPERSONS),No,High,Business,846000.0,WALKIN CUSTOMER,ADHAR CARD,00165436701
30000021,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Business,2171000.0,SWIFT,NRN ID,00589301031
30000022,Nepali,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Salary,3465000.0,SOCIAL MEDIA,CITIZENSHIP,00481064702
30000023,Nepali,FARMER,No,Low,Investment,1765000.0,SWIFT,PASSPORT,00142143481
30000024,Indian,SELF EMPLOYED JEWELERS,No,High,Investment,3712000.0,ONLINE ACCOUNT,CITIZENSHIP,00422647481
30000025,Other,GOVT. LEGISLATOR,Yes,High,Salary,3429000.0,SWIFT,PASSPORT,00137902371
30000026,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Business,2342000.0,SWIFT,ADHAR CARD,00475501901
30000027,Indian,GOVT. LEGISLATOR,Yes,High,Remittance,1976000.0,SOCIAL MEDIA,CITIZENSHIP,00259779311
30000028,Other,DOCTOR,No,Low,Salary,7379000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00194364292
30000029,Other,ANY ATTORNEY/ LAWYER,No,Medium,Business,3409000.0,WALKIN CUSTOMER,CITIZENSHIP,00149460661
30000030,Other,ANY ATTORNEY/ LAWYER,No,Medium,Remittance,1873000.0,OFFLINE,PASSPORT,00553749222
30000031,Indian,FARMER,No,Low,Business,7453000.0,ONLINE ACCOUNT,CITIZENSHIP,00363045732
30000032,Indian,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Salary,2342000.0,OFFLINE,CITIZENSHIP,00594873361
30000033,Nepali,TEACHER,No,Low,Investment,5010000.0,SOCIAL MEDIA,ADHAR CARD,00260753952
30000034,Other,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Business,6017000.0,EVENTS AND EXHIBITION,ADHAR CARD,00327957651
30000035,Indian,REAL ESTATE BUSINESS,No,High,Investment,4062000.0,SOCIAL MEDIA,CITIZENSHIP,00294793562
30000036,Other,STUDENT,No,Low,Investment,6238000.0,REFERRAL,PASSPORT,00165961501
30000037,Other,RETIRED,No,Low,Other,879000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00428769321
30000038,Indian,GOVT. LEGISLATOR,Yes,High,Business,2674000.0,SOCIAL MEDIA,ADHAR CARD,00417017711
30000039,Nepali,CASINOS,No,High,Salary,7428000.0,WALKIN CUSTOMER,PASSPORT,00335929742
30000040,Nepali,STUDENT,No,Low,Salary,6477000.0,WALKIN CUSTOMER,ADHAR CARD,00279074002
30000041,Nepali,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Remittance,1837000.0,SWIFT,ADHAR CARD,00147318182
30000042,Indian,CASINOS,No,High,Business,2828000.0,ONLINE ACCOUNT,ADHAR CARD,00176851491
30000043,Indian,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Remittance,1188000.0,REFERRAL,PASSPORT,00514630602
30000044,Other,GAMING -CASINOS,No,High,Salary,5910000.0,OFFLINE,NRN ID,00167996672
30000045,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Salary,642000.0,MAIL,CITIZENSHIP,00452735341
30000046,Other,GOVT. LEGISLATOR,Yes,High,Business,7606000.0,OFFLINE,ADHAR CARD,00321739652
30000047,Other,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Investment,2812000.0,REFERRAL,PASSPORT,00578516962
30000048,Nepali,STUDENT,No,Low,Remittance,4519000.0,SOCIAL MEDIA,ADHAR CARD,00278128102
30000049,Indian,REAL ESTATE BUSINESS,No,High,Remittance,3702000.0,WALKIN CUSTOMER,NRN ID,00588012072
30000050,Other,SELF EMPLOYED JEWELERS,No,High,Salary,6602000.0,WALKIN CUSTOMER,ADHAR CARD,00325667772
30000051,Nepali,REAL ESTATE BUSINESS,No,High,Business,7876000.0,ONLINE ACCOUNT,NRN ID,00151077761
30000052,Indian,REAL ESTATE BUSINESS,No,High,Remittance,1436000.0,SOCIAL MEDIA,CITIZENSHIP,00450933792
30000053,Indian,CASINOS,No,High,Business,4592000.0,ONLINE ACCOUNT,NRN ID,00518425242
30000054,Nepali,RETIRED,No,Low,Other,5017000.0,MAIL,NRN ID,00584251492
30000055,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Remittance,6197000.0,SWIFT,PASSPORT,00356525121
30000056,Indian,RETIRED,No,Low,Salary,2886000.0,ONLINE ACCOUNT,PASSPORT,00355586231
30000057,Nepali,CASINOS,No,High,Remittance,3494000.0,OFFLINE,NRN ID,00220775811
30000058,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Business,6897000.0,MAIL,NRN ID,00413276912
30000059,Nepali,TEACHER,No,Low,Investment,4059000.0,REFERRAL,NRN ID,00447000252
30000060,Indian,ANY ACCOUNTANT,No,High,Remittance,6772000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00337689912
30000061,Indian,ANY ACCOUNTANT,No,High,Salary,1699000.0,REFERRAL,NRN ID,00487460141
30000062,Indian,REAL ESTATE BUSINESS,No,High,Remittance,2443000.0,MAIL,ADHAR CARD,00373606822
30000063,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Salary,2027000.0,ONLINE ACCOUNT,CITIZENSHIP,00568713601
30000064,Nepali,CASINOS,No,High,Business,1272000.0,ONLINE ACCOUNT,PASSPORT,00150021201
