TransactionID,Amount,Date,Time,SenderAccount,ReceiverAccount,Country,TransactionType,Currency,Channel,IsSuspicious
TX1,518747.66,2025-06-05,20:01:11,00573411682,00329956992,Nepal,Deposit,NPR,Online,0
TX2,381195.7,2024-09-10,13:58:15,00483159062,00185507802,Russia,Deposit,NPR,Branch,0
TX3,694047.15,2024-09-23,17:51:57,00556932602,00392650972,USA,Deposit,NPR,ATM,0
TX4,750225.1,2025-07-08,00:59:49,00279172712,00346168562,China,Cash Withdrawal,NPR,Online,0
TX5,376666.28,2024-11-09,22:35:26,00149387911,00577360551,Russia,Deposit,NPR,ATM,0
TX6,626586.29,2025-04-10,06:44:04,00269616951,00257688271,Nepal,Deposit,NPR,Branch,0
TX7,73410.85,2024-08-14,06:16:56,00261680482,00194432152,China,Cash Withdrawal,NPR,Online,0
TX8,546343.86,2025-02-10,17:30:57,00439826521,00596516842,India,Deposit,NPR,Branch,0
TX9,759719.75,2025-07-07,22:56:20,00245524622,00590203692,Nepal,Cash Withdrawal,NPR,Branch,0
TX10,68682.86,2025-01-24,01:39:52,00426543712,00445080801,India,Cash Withdrawal,NPR,Online,0
TX11,744577.63,2025-05-15,10:50:55,00447286611,00165709251,Nepal,Deposit,NPR,Online,0
TX12,244562.34,2024-12-13,03:01:13,00359159171,00434988092,India,Deposit,NPR,ATM,0
TX13,981561.26,2024-10-27,02:33:55,00438321002,00337105591,Nepal,Deposit,NPR,Branch,0
TX14,782074.66,2024-09-17,15:50:01,00415865631,00431722421,Russia,Transfer,NPR,ATM,0
TX15,840429.08,2024-09-23,12:53:37,00348137102,00184575612,Russia,Cash Withdrawal,NPR,Online,0
TX16,212492.64,2025-06-21,17:46:23,00291704021,00335759861,India,Transfer,NPR,Branch,0
TX17,683980.4,2025-04-18,00:33:34,00320871221,00355549701,USA,Transfer,NPR,Branch,0
TX18,891918.18,2024-09-21,08:13:48,00312693871,00426178821,Nepal,Transfer,NPR,Branch,0
TX19,983375.31,2024-11-28,16:24:01,00556338802,00399966851,USA,Cash Withdrawal,NPR,Branch,0
TX20,715998.46,2025-07-12,01:36:34,00313178491,00391062631,Nepal,Transfer,NPR,ATM,0
TX21,121617.14,2025-07-18,23:22:29,00178970601,00262550032,Pakistan,Transfer,NPR,Online,0
TX22,462706.6,2024-12-28,16:44:21,00217336191,00233411092,Nepal,Transfer,NPR,Branch,0
TX23,123130.31,2025-06-26,19:14:58,00446720471,00297185592,Nepal,Cash Withdrawal,NPR,ATM,0
TX24,387709.79,2024-09-26,18:59:36,00237230461,00381873702,China,Transfer,NPR,Online,0
TX25,133017.83,2025-06-29,03:03:14,00422768411,00252874931,Nepal,Deposit,NPR,ATM,0
TX26,786572.54,2025-02-17,20:18:24,00556376411,00168731912,China,Cash Withdrawal,NPR,Online,0
TX27,493980.62,2025-04-24,14:41:22,00360681982,00230400022,Pakistan,Deposit,NPR,ATM,0
TX28,872899.59,2025-01-19,13:20:27,00287085171,00486662772,Pakistan,Cash Withdrawal,NPR,Branch,0
TX29,414563.58,2025-07-12,12:33:59,00299206402,00158598832,India,Cash Withdrawal,NPR,Online,0
TX30,130375.21,2025-06-25,23:27:30,00340830151,00239358321,Russia,Transfer,NPR,ATM,0
TX31,888203.91,2025-04-14,06:22:46,00210410481,00589014821,Pakistan,Transfer,NPR,Online,0
TX32,96954.18,2024-10-17,19:52:26,00398249631,00142559402,India,Transfer,NPR,Online,0
TX33,658845.5,2024-10-08,00:51:07,00186200332,00130237442,India,Cash Withdrawal,NPR,Online,0
TX34,867454.45,2025-02-09,06:26:03,00417967711,00498924942,Nepal,Transfer,NPR,Online,0
TX35,652377.56,2024-12-17,13:59:26,00186494582,00565856601,Russia,Transfer,NPR,Online,0
TX36,29996.2,2025-04-04,18:32:07,00242200851,00563163572,Nepal,Deposit,NPR,Branch,0
TX37,832537.26,2025-03-28,06:16:18,00135655041,00129951832,India,Transfer,NPR,ATM,0
TX38,616169.08,2024-12-06,17:15:59,00543743181,00388449082,Nepal,Deposit,NPR,Online,0
TX39,35951.15,2025-06-28,20:20:48,00119300871,00260189671,Nepal,Cash Withdrawal,NPR,ATM,0
TX40,156803.8,2024-08-18,08:06:45,00287291581,00195308832,USA,Deposit,NPR,Branch,0
TX41,696138.53,2025-06-17,00:44:03,00488275482,00560075952,India,Deposit,NPR,Branch,0
TX42,689925.1,2024-10-23,03:44:38,00536919652,00161756741,Nepal,Transfer,NPR,ATM,0
TX43,362483.57,2025-02-07,20:19:19,00588409762,00477762912,Nepal,Cash Withdrawal,NPR,Online,0
TX44,132133.6,2024-09-04,00:27:37,00173759182,00431792902,USA,Transfer,NPR,Online,0
TX45,377928.29,2024-12-23,20:52:33,00226755271,00218744142,China,Cash Withdrawal,NPR,Online,0
TX46,665575.84,2025-03-14,14:10:39,00167558921,00489508281,Nepal,Cash Withdrawal,NPR,Branch,0
TX47,221416.78,2025-05-31,13:39:32,00425851842,00538000422,Pakistan,Transfer,NPR,Online,0
TX48,203094.18,2025-04-10,06:30:22,00538922452,00439528302,Nepal,Transfer,NPR,Branch,0
TX49,477811.07,2025-01-28,09:58:45,00312918702,00227195831,China,Deposit,NPR,Online,0
TX50,631803.03,2024-11-01,20:04:20,00261049591,00318742952,USA,Cash Withdrawal,NPR,ATM,0
TX51,563508.63,2025-06-17,04:15:40,00420118162,00276627642,China,Cash Withdrawal,NPR,Online,0
TX52,480567.13,2025-03-27,10:05:43,00469932631,00457037281,Pakistan,Transfer,NPR,Online,0
TX53,320152.56,2025-04-28,12:31:18,00470520242,00412332442,India,Transfer,NPR,Branch,0
TX54,298514.56,2025-01-27,18:36:43,00566210731,00242784582,Nepal,Transfer,NPR,ATM,0
TX55,360643.72,2025-04-19,03:47:21,00457209832,00277533732,USA,Deposit,NPR,Online,0
TX56,241244.09,2025-03-21,17:16:21,00537723901,00574155651,Russia,Cash Withdrawal,NPR,Online,0
TX57,965091.81,2025-03-01,15:29:18,00382835111,00452735341,Pakistan,Transfer,NPR,Online,0
TX58,867260.83,2025-05-17,19:54:25,00268221051,00442626641,USA,Deposit,NPR,ATM,0
TX59,642868.59,2025-04-06,19:27:07,00449986171,00212089831,Pakistan,Transfer,NPR,Online,0
TX60,21354.41,2024-09-30,23:44:17,00158585232,00327781762,India,Transfer,NPR,Online,0
TX61,977540.0,2025-05-13,17:30:18,00463461132,00522096532,Nepal,Deposit,NPR,Online,0
TX62,931324.98,2025-05-10,08:29:29,00415444532,00131801012,India,Cash Withdrawal,NPR,Online,0
TX63,851658.52,2024-11-05,09:00:22,00426655682,00520968522,Russia,Transfer,NPR,ATM,0
TX64,919148.42,2024-12-30,04:43:09,00273430131,00133943342,China,Deposit,NPR,Branch,0
TX65,473213.07,2025-05-05,20:00:54,00155651631,00299536301,Nepal,Transfer,NPR,ATM,0
TX66,94234.36,2025-02-24,14:00:02,00431147011,00437444822,Nepal,Deposit,NPR,ATM,0
TX67,673672.03,2025-01-20,01:31:59,00212887782,00160521902,USA,Deposit,NPR,Branch,0
TX68,673900.89,2025-02-08,15:28:30,00143575301,00313930232,Nepal,Cash Withdrawal,NPR,ATM,0
TX69,831641.43,2025-04-27,17:35:24,00110263751,00567987381,China,Cash Withdrawal,NPR,Branch,0
TX70,888274.06,2024-09-05,14:31:41,00558865202,00187472461,Nepal,Deposit,NPR,ATM,0
TX71,889777.4,2024-12-10,17:05:32,00366028862,00267520341,Nepal,Cash Withdrawal,NPR,Online,0
TX72,284376.91,2025-03-14,03:55:14,00349655332,00178415982,India,Cash Withdrawal,NPR,ATM,0
TX73,785216.43,2025-03-20,07:25:10,00394858752,00238214671,Russia,Deposit,NPR,Branch,0
TX74,935613.08,2025-06-13,19:20:14,00436639072,00447569922,Nepal,Cash Withdrawal,NPR,ATM,0
TX75,863642.04,2024-09-30,23:00:25,00127312811,00324145081,Nepal,Deposit,NPR,ATM,0
TX76,15424.05,2025-07-15,00:41:01,00528907021,00434566351,India,Transfer,NPR,Branch,0
TX77,980064.81,2024-11-03,14:34:28,00392319392,00416309442,Nepal,Deposit,NPR,Branch,0
TX78,470523.89,2025-01-09,17:57:31,00126502371,00332219591,Nepal,Cash Withdrawal,NPR,ATM,0
TX79,811469.32,2025-01-31,14:45:41,00380577861,00275538732,Pakistan,Transfer,NPR,Branch,0
TX80,412890.01,2024-12-17,02:03:11,00445791792,00559495351,Pakistan,Transfer,NPR,Online,0
TX81,520755.77,2024-12-09,15:27:38,00336733221,00262166951,Nepal,Cash Withdrawal,NPR,Online,0
TX82,645012.9,2024-11-10,17:45:37,00441345152,00295992072,Nepal,Cash Withdrawal,NPR,Online,0
TX83,442008.8,2025-04-05,18:59:21,00582610322,00219435182,Nepal,Transfer,NPR,Online,0
TX84,439746.3,2025-03-28,03:39:24,00499174962,00325667772,Nepal,Cash Withdrawal,NPR,Online,0
TX85,12852.85,2024-09-05,00:54:49,00278915241,00329760952,China,Cash Withdrawal,NPR,Online,0
TX86,908075.52,2024-11-04,13:28:19,00510133141,00537504971,India,Deposit,NPR,Online,0
TX87,743028.41,2025-06-06,15:52:22,00251950132,00239674992,China,Cash Withdrawal,NPR,ATM,0
TX88,28262.08,2025-05-30,00:07:56,00221156902,00223259861,USA,Cash Withdrawal,NPR,Branch,0
TX89,370039.28,2024-12-21,09:44:14,00546479922,00425532321,India,Transfer,NPR,Branch,0
TX90,977467.38,2024-07-31,19:43:51,00378582601,00268002062,India,Deposit,NPR,ATM,0
